real,imag,normal_IM_type,IM_type,RF_type,SA_type,time
-52.37431298975881,0.0,0,0,0,0,0
-0.6131679580940572,36.26036052980192,1,1,1,1,0
-0.6131679580940572,-36.26036052980192,2,2,2,2,0
-1.322920029006608,24.727950332480066,3,3,3,3,0
-1.322920029006608,-24.727950332480066,4,4,4,4,0
-0.3716835297126533,19.598640743580695,5,5,5,5,0
-0.3716835297126533,-19.598640743580695,6,6,6,6,0
-0.8560943707949784,18.41362592829062,7,7,7,7,0
-0.8560943707949784,-18.41362592829062,8,8,8,8,0
-0.6147990616652903,17.961331594981164,9,9,9,9,0
-0.6147990616652903,-17.961331594981164,10,10,10,10,0
-32.814837641039105,1.6352098289142032,11,11,11,11,0
-32.814837641039105,-1.6352098289142032,12,12,12,12,0
-1.4459325078959293,16.447790594075983,13,13,13,13,0
-1.4459325078959293,-16.447790594075983,14,14,14,14,0
-0.9652108741457628,15.119319601505214,15,15,15,15,0
-0.9652108741457628,-15.119319601505214,16,16,16,16,0
-25.066961190875496,3.846693801349465,17,17,17,17,0
-25.066961190875496,-3.846693801349465,18,18,18,18,0
-25.124706484138727,1.6614198112195193,19,19,19,19,0
-25.124706484138727,-1.6614198112195193,20,20,20,20,0
-33.39357165429456,0.0,21,21,21,21,0
-33.36231119402306,0.0,22,22,22,22,0
-33.37578970034419,0.0,23,23,23,23,0
-33.37071513959708,0.0,24,24,24,24,0
-33.37349719271436,0.0,25,25,25,25,0
-33.37209807853793,0.0,26,26,26,26,0
-24.565546080964523,0.0,27,27,27,27,0
-24.38105992724617,0.06274752111070601,28,28,28,28,0
-24.38105992724617,-0.06274752111070601,29,29,29,29,0
-24.423688159081486,0.0,30,30,30,30,0
-24.511338467905937,0.0,31,31,31,31,0
-4.578385490612055,10.944222492530022,32,32,32,32,0
-4.578385490612055,-10.944222492530022,33,33,33,33,0
-14.315921634991268,1.1839151852605265,34,34,34,34,0
-14.315921634991268,-1.1839151852605265,35,35,35,35,0
-14.266573211636432,0.0,36,36,36,36,0
-13.553760283345508,0.0,37,37,37,37,0
-11.975422107438261,0.0,38,38,38,38,0
-11.693745508973677,0.0,39,39,39,39,0
-8.700750644021513,0.0,40,40,40,40,0
-10.357350598371887,0.0,41,41,41,41,0
-10.76395359919903,0.0,42,42,42,42,0
-11.551957337595427,0.0,43,43,43,43,0
-9.816121591480469,0.0,44,44,44,44,0
-9.361087074619606,0.0,45,45,45,45,0
-6.864668744036806,0.0,46,46,46,46,0
-5.322291973572336,0.0,47,47,47,47,0
-4.570236420661281,0.0,48,48,48,48,0
-3.4370864023792493,0.0,49,49,49,49,0
-0.9289927548950172,0.31224238944421867,50,50,50,50,0
-0.9289927548950172,-0.31224238944421867,51,51,51,51,0
-0.3624303528347049,0.41311909360222837,52,52,52,52,0
-0.3624303528347049,-0.41311909360222837,53,53,53,53,0
-0.27812745251202453,0.3527915685266997,54,54,54,54,0
-0.27812745251202453,-0.3527915685266997,55,55,55,55,0
-0.27534598156208967,0.30428895189796606,56,56,56,56,0
-0.27534598156208967,-0.30428895189796606,57,57,57,57,0
-0.3211460083796539,0.3197564071057734,58,58,58,58,0
-0.3211460083796539,-0.3197564071057734,59,59,59,59,0
-1.9979269145987413,0.0,60,60,60,60,0
-1.9969325336602448,0.0,61,61,61,61,0
-0.2542038727330381,0.1680814416260691,62,62,62,62,0
-0.2542038727330381,-0.1680814416260691,63,63,63,63,0
-1.9883626356438648,0.0,64,64,64,64,0
-0.2428341194520698,0.15544788826455147,65,65,65,65,0
-0.2428341194520698,-0.15544788826455147,66,66,66,66,0
-1.9924802897699505,0.0,67,67,67,67,0
-1.9954425953093011,0.0,68,68,68,68,0
-1.990668996212541,0.0,69,69,69,69,0
-0.19042325326933981,0.0,70,70,70,70,0
-0.19680592180763468,0.0,71,71,71,71,0
-0.19850199749361705,0.0,72,72,72,72,0
-0.19915080270385913,0.0,73,73,73,73,0
-0.19956668469853808,0.0,74,74,74,74,0
-0.19949149690337128,0.0,75,75,75,75,0
-10.0,0.0,76,76,76,76,0
-0.1,0.0,77,77,77,77,0
-5.0,0.0,78,78,78,78,0
-0.00010001000100010001,0.0,79,79,79,79,0
-0.00010001000100010001,0.0,80,80,80,80,0
-0.00010001000100010001,0.0,81,81,81,81,0
-0.00010001000100010001,0.0,82,82,82,82,0
-0.00010001000100010001,0.0,83,83,83,83,0
-0.00010001000100010001,0.0,84,84,84,84,0
-0.00010001000100010001,0.0,85,85,85,85,0
-0.00010001000100010001,0.0,86,86,86,86,0
-52.5105732959241,0.0,0,0,0,4,1
-0.641239406244309,35.55556210337717,1,1,1,73,1
-0.641239406244309,-35.55556210337717,2,2,2,48,1
-1.2487280748616127,24.8992665796557,3,3,3,28,1
-1.2487280748616127,-24.8992665796557,4,4,4,12,1
-34.347839001746806,0.0,21,50,50,5,1
-0.5339912090446277,19.1417813670437,5,39,39,43,1
-0.5339912090446277,-19.1417813670437,6,7,7,74,1
-0.967948463285691,18.250323911213187,7,8,8,76,1
-0.967948463285691,-18.250323911213187,8,9,9,26,1
-0.21433522231986935,16.966222726675873,9,10,10,72,1
-0.21433522231986935,-16.966222726675873,10,11,11,7,1
-1.3873834259789821,15.964998985753438,13,12,12,6,1
-1.3873834259789821,-15.964998985753438,14,5,5,58,1
-25.24136133438454,3.8980426817520692,17,38,38,45,1
-25.24136133438454,-3.8980426817520692,18,15,15,39,1
-27.307000149982784,0.0,12,16,16,15,1
-0.8848491430826066,14.69314268998091,15,17,17,30,1
-0.8848491430826066,-14.69314268998091,16,18,18,14,1
-33.3422892226567,0.0,11,19,19,36,1
-25.149654283366658,1.6652024553587428,19,20,20,35,1
